qty_waste,timestamp,plant_id,depot_id,route_id,qty_waste,qty_waste,temperature_at_check,handling_condition,batch_id,shift,notes,soft_white,high_energy_brown,whole_grain_loaf,low_gi_seed_loaf
WST_300000,2025-06-24 18:25:40,Shepperton_Plant,Mutare,RT_MUT_01,103,Expired Waste,23.7,Poor stacking,,Afternoon,Expired before sale,100,0,0,96
WST_300001,2025-03-16 12:21:22,Shepperton_Plant,Chegutu,RT_CHE_01,165,Quality Failure,26.0,Poor stacking,,Morning,Issue due to poor stacking,0,0,76,54
WST_300002,2025-06-01 07:52:22,Shepperton_Plant,Chegutu,RT_CHE_01,9,Quality Failure,23.4,Good,,Morning,Routine waste inspection,0,0,108,113
WST_300003,2025-02-10 09:42:58,Shepperton_Plant,Harare,RT_HAR_02,79,Damaged,30.7,Delayed offloading,BATCH_15628,Afternoon,Issue due to delayed offloading,0,0,132,0
WST_300004,2025-04-22 21:29:48,Shepperton_Plant,Chegutu,RT_CHE_01,15,Returned Unsold,23.4,Rough handling,,Afternoon,Issue due to rough handling,0,0,0,255
WST_300005,2025-01-19 08:59:02,Shepperton_Plant,Murehwa,RT_MUR_01,23,Damaged,23.3,Good,BATCH_13404,Night,Routine waste inspection,52,0,0,0
WST_300006,2025-04-27 16:22:25,Shepperton_Plant,Harare,RT_HAR_01,82,Returned Unsold,20.7,Rough handling,,Morning,Issue due to rough handling,0,0,125,143
WST_300007,2025-07-08 05:07:28,Shepperton_Plant,Mutare,RT_MUT_02,107,Returned Unsold,19.9,Overloaded crates,,Morning,Issue due to overloaded crates,0,0,111,79
WST_300008,2025-05-19 13:38:47,Shepperton_Plant,Chinhoyi,RT_CHI_02,60,Quality Failure,23.6,Overloaded crates,,Morning,Issue due to overloaded crates,0,0,0,127
WST_300009,2025-05-28 02:28:20,Shepperton_Plant,Hatcliff,RT_HAT_01,122,Quality Failure,23.5,Good,,Afternoon,Routine waste inspection,0,0,49,0
WST_300010,2025-06-17 22:28:55,Shepperton_Plant,Chinhoyi,RT_CHI_02,40,Quality Failure,28.4,Delayed offloading,BATCH_20372,Night,Issue due to delayed offloading,0,0,92,0
WST_300011,2025-05-14 02:00:31,Shepperton_Plant,Mutare,RT_MUT_01,113,Quality Failure,24.7,Poor stacking,BATCH_20265,Afternoon,Issue due to poor stacking,14,0,0,20
WST_300012,2025-07-09 06:03:54,Shepperton_Plant,Hatcliff,RT_HAT_02,54,Returned Unsold,24.2,Delayed offloading,,Night,Issue due to delayed offloading,70,41,0,0
WST_300013,2025-01-16 04:39:03,Shepperton_Plant,Bindura,RT_BIN_01,114,Quality Failure,29.4,Poor stacking,BATCH_16778,Afternoon,Issue due to poor stacking,128,0,0,0
WST_300014,2025-05-13 06:09:38,Shepperton_Plant,Harare,RT_HAR_01,222,Returned Unsold,30.9,Good,BATCH_11706,Afternoon,Routine waste inspection,0,62,0,111
WST_300015,2025-05-06 22:31:40,Shepperton_Plant,Chinhoyi,RT_CHI_02,86,Expired Waste,31.1,Poor stacking,BATCH_17079,Night,Expired before sale,77,0,0,75
WST_300016,2025-05-11 23:04:41,Shepperton_Plant,Chegutu,RT_CHE_02,108,Quality Failure,23.1,Good,,Night,Routine waste inspection,0,64,0,0
WST_300017,2025-07-02 19:29:58,Shepperton_Plant,Bindura,RT_BIN_01,209,Damaged,19.9,Poor stacking,BATCH_21502,Morning,Issue due to poor stacking,0,50,0,0
WST_300018,2025-01-05 15:24:32,Shepperton_Plant,Harare,RT_HAR_03,149,Returned Unsold,31.3,Rough handling,BATCH_28124,Afternoon,Issue due to rough handling,0,0,19,0
WST_300019,2025-06-16 00:08:21,Shepperton_Plant,Chinhoyi,RT_CHI_02,39,Returned Unsold,18.5,Good,BATCH_14190,Night,Routine waste inspection,76,31,0,0
WST_300020,2025-07-17 13:36:31,Shepperton_Plant,Bindura,RT_BIN_01,187,Damaged,25.9,Good,,Night,Routine waste inspection,0,0,68,103
WST_300021,2025-02-11 21:17:27,Shepperton_Plant,Murehwa,RT_MUR_01,176,Returned Unsold,28.0,Good,BATCH_10972,Afternoon,Routine waste inspection,0,0,0,68
WST_300022,2025-01-24 11:26:06,Shepperton_Plant,Murehwa,RT_MUR_01,249,Returned Unsold,24.1,Delayed offloading,BATCH_15806,Night,Issue due to delayed offloading,0,46,58,0
WST_300023,2025-05-29 10:42:13,Shepperton_Plant,Murehwa,RT_MUR_01,93,Returned Unsold,31.0,Delayed offloading,,Night,Issue due to delayed offloading,0,53,0,0
WST_300024,2025-07-06 08:49:13,Shepperton_Plant,Murehwa,RT_MUR_01,118,Expired Waste,19.1,Rough handling,,Morning,Expired before sale,0,0,98,0
WST_300025,2025-03-11 09:06:16,Shepperton_Plant,Hatcliff,RT_HAT_02,155,Damaged,18.0,Poor stacking,BATCH_20977,Morning,Issue due to poor stacking,0,74,0,138
WST_300026,2025-02-13 21:17:18,Shepperton_Plant,Mutare,RT_MUT_02,66,Expired Waste,28.5,Poor stacking,,Afternoon,Expired before sale,0,16,0,0
WST_300027,2025-05-07 19:43:33,Shepperton_Plant,Chinhoyi,RT_CHI_02,215,Returned Unsold,30.7,Good,BATCH_24489,Night,Routine waste inspection,0,0,35,0
WST_300028,2025-01-05 05:41:39,Shepperton_Plant,Mutare,RT_MUT_01,242,Damaged,21.6,Rough handling,BATCH_18143,Afternoon,Issue due to rough handling,0,0,11,0
WST_300029,2025-07-13 13:14:11,Shepperton_Plant,Harare,RT_HAR_01,177,Returned Unsold,31.4,Good,BATCH_28017,Morning,Routine waste inspection,0,0,0,102
WST_300030,2025-02-14 07:12:53,Shepperton_Plant,Chinhoyi,RT_CHI_01,207,Quality Failure,28.7,Poor stacking,,Afternoon,Issue due to poor stacking,0,0,56,0
WST_300031,2025-03-12 20:28:36,Shepperton_Plant,Chegutu,RT_CHE_02,203,Damaged,26.6,Poor stacking,BATCH_15016,Night,Issue due to poor stacking,0,43,43,0
WST_300032,2025-05-25 15:44:51,Shepperton_Plant,Murehwa,RT_MUR_01,127,Returned Unsold,20.1,Overloaded crates,BATCH_22870,Morning,Issue due to overloaded crates,117,53,0,0
WST_300033,2025-03-25 16:20:57,Shepperton_Plant,Harare,RT_HAR_01,31,Damaged,31.4,Overloaded crates,BATCH_25360,Morning,Issue due to overloaded crates,0,0,2,3
WST_300034,2025-04-18 05:05:14,Shepperton_Plant,Bindura,RT_BIN_01,68,Returned Unsold,31.7,Overloaded crates,BATCH_15757,Afternoon,Issue due to overloaded crates,105,0,37,0
WST_300035,2025-01-24 15:19:21,Shepperton_Plant,Chegutu,RT_CHE_02,85,Damaged,31.4,Delayed offloading,,Afternoon,Issue due to delayed offloading,0,33,0,0
WST_300036,2025-01-17 07:11:17,Shepperton_Plant,Chegutu,RT_CHE_02,177,Quality Failure,18.5,Delayed offloading,,Night,Issue due to delayed offloading,80,0,0,0
WST_300037,2025-03-12 00:00:00,Shepperton_Plant,Bindura,RT_BIN_01,193,Expired Waste,20.9,Good,BATCH_29955,Morning,Expired before sale,77,0,0,101
WST_300038,2025-03-13 05:14:43,Shepperton_Plant,Bindura,RT_BIN_01,166,Damaged,24.7,Rough handling,BATCH_12200,Morning,Issue due to rough handling,0,0,0,11
WST_300039,2025-01-08 09:14:53,Shepperton_Plant,Chinhoyi,RT_CHI_01,83,Returned Unsold,20.3,Overloaded crates,,Night,Issue due to overloaded crates,0,107,0,0
WST_300040,2025-07-30 01:28:06,Shepperton_Plant,Murehwa,RT_MUR_01,110,Quality Failure,22.5,Poor stacking,BATCH_27229,Afternoon,Issue due to poor stacking,107,0,0,78
WST_300041,2025-04-21 17:10:17,Shepperton_Plant,Hatcliff,RT_HAT_02,249,Returned Unsold,29.9,Poor stacking,BATCH_15255,Morning,Issue due to poor stacking,111,0,57,0
WST_300042,2025-04-14 23:20:12,Shepperton_Plant,Mutare,RT_MUT_01,228,Expired Waste,25.7,Overloaded crates,BATCH_13172,Night,Expired before sale,0,0,152,0
WST_300043,2025-02-09 15:32:45,Shepperton_Plant,Murehwa,RT_MUR_01,61,Quality Failure,25.5,Rough handling,BATCH_10686,Afternoon,Issue due to rough handling,0,130,0,150
WST_300044,2025-06-30 03:29:31,Shepperton_Plant,Chegutu,RT_CHE_01,100,Expired Waste,30.9,Delayed offloading,,Afternoon,Expired before sale,97,35,0,0
WST_300045,2025-02-26 13:52:42,Shepperton_Plant,Chegutu,RT_CHE_02,209,Quality Failure,29.4,Delayed offloading,BATCH_15379,Afternoon,Issue due to delayed offloading,0,42,0,0
WST_300046,2025-07-08 13:32:49,Shepperton_Plant,Chinhoyi,RT_CHI_01,72,Expired Waste,31.3,Delayed offloading,,Morning,Expired before sale,0,49,0,0
WST_300047,2025-07-01 15:46:24,Shepperton_Plant,Murehwa,RT_MUR_01,243,Quality Failure,19.4,Rough handling,,Morning,Issue due to rough handling,2,0,0,3
WST_300048,2025-04-23 11:22:22,Shepperton_Plant,Chegutu,RT_CHE_01,63,Expired Waste,29.3,Overloaded crates,,Morning,Expired before sale,0,64,63,0
WST_300049,2025-03-27 16:07:52,Shepperton_Plant,Chegutu,RT_CHE_02,122,Damaged,20.0,Poor stacking,BATCH_27139,Afternoon,Issue due to poor stacking,0,15,0,0
