dispatch_id,departure_time,expected_arrival,actual_arrival,plant_id,depot_id,vehicle_id,Soft white,High Energy Brown,Whole grain loaf,Low GI Seed loaf,total_quantity
DSP_900000,2025-01-01 02:00:00,2025-01-01 04:30:00,2025-01-01 05:07:00,Shepperton_Plant,Chinhoyi,TRUCK_045,1070,311,396,337,2114
DSP_900001,2025-01-01 03:00:00,2025-01-01 05:20:00,2025-01-01 05:54:00,Shepperton_Plant,Bindura,TRUCK_121,1096,258,396,316,2066
DSP_900002,2025-01-01 06:00:00,2025-01-01 08:30:00,2025-01-01 08:26:00,Shepperton_Plant,Chinhoyi,TRUCK_022,1266,554,505,410,2735
DSP_900003,2025-01-01 04:00:00,2025-01-01 05:50:00,2025-01-01 06:31:00,Shepperton_Plant,Murehwa,TRUCK_132,1242,375,326,282,2225
DSP_900004,2025-01-01 03:00:00,2025-01-01 05:00:00,2025-01-01 05:01:00,Shepperton_Plant,Chegutu,TRUCK_004,1060,257,250,235,1802
DSP_900005,2025-01-01 04:00:00,2025-01-01 09:00:00,2025-01-01 09:25:00,Shepperton_Plant,Mutare,TRUCK_124,1934,557,465,490,3446
DSP_900006,2025-01-01 05:00:00,2025-01-01 07:20:00,2025-01-01 07:48:00,Shepperton_Plant,Bindura,TRUCK_003,1212,332,302,275,2121
DSP_900007,2025-01-01 03:00:00,2025-01-01 05:30:00,2025-01-01 05:33:00,Shepperton_Plant,Chinhoyi,TRUCK_016,1329,427,450,377,2583
DSP_900008,2025-01-01 05:00:00,2025-01-01 07:00:00,2025-01-01 06:59:00,Shepperton_Plant,Chegutu,TRUCK_056,1803,434,491,633,3361
DSP_900009,2025-01-01 06:00:00,2025-01-01 08:30:00,2025-01-01 08:41:00,Shepperton_Plant,Chinhoyi,TRUCK_072,2181,557,618,460,3816
DSP_900010,2025-01-01 02:00:00,2025-01-01 04:30:00,2025-01-01 04:21:00,Shepperton_Plant,Chinhoyi,TRUCK_050,1703,471,372,472,3018
DSP_900011,2025-01-01 02:00:00,2025-01-01 03:50:00,2025-01-01 03:52:00,Shepperton_Plant,Murehwa,TRUCK_106,1753,550,577,634,3514
DSP_900012,2025-01-01 04:00:00,2025-01-01 09:00:00,2025-01-01 09:36:00,Shepperton_Plant,Mutare,TRUCK_147,1724,639,695,746,3804
DSP_900013,2025-01-01 05:00:00,2025-01-01 07:20:00,2025-01-01 07:24:00,Shepperton_Plant,Bindura,TRUCK_102,868,306,273,361,1808
DSP_900014,2025-01-01 03:00:00,2025-01-01 04:00:00,2025-01-01 04:16:00,Shepperton_Plant,Harare,TRUCK_093,2275,498,611,759,4143
DSP_900015,2025-01-01 06:00:00,2025-01-01 11:00:00,2025-01-01 11:24:00,Shepperton_Plant,Mutare,TRUCK_140,1718,419,429,341,2907
DSP_900016,2025-01-01 06:00:00,2025-01-01 11:00:00,2025-01-01 11:15:00,Shepperton_Plant,Mutare,TRUCK_047,1379,315,298,336,2328
DSP_900017,2025-01-01 05:00:00,2025-01-01 10:00:00,2025-01-01 10:04:00,Shepperton_Plant,Mutare,TRUCK_081,876,347,404,289,1916
