sensor_id,timestamp,plant_id,equipment_id,metric_name,metric_value
SEN_100000,2025-07-10 01:00:00,Shepperton_Plant,OVEN_02,zone_temperature_c,208.13
SEN_100001,2025-01-13 18:00:00,Shepperton_Plant,CONVEYOR_01,belt_speed_m_min,19.66
SEN_100002,2025-05-09 14:00:00,Shepperton_Plant,DOUGH_MIXER_01,mixing_time_sec,451.28
SEN_100003,2025-06-12 09:00:00,Shepperton_Plant,DOUGH_MIXER_01,motor_temperature_c,57.14
SEN_100004,2025-07-23 02:00:00,Shepperton_Plant,PROOFER_01,humidity_pct,73.8
SEN_100005,2025-06-14 19:00:00,Shepperton_Plant,OVEN_02,zone_temperature_c,202.32
SEN_100006,2025-01-21 18:00:00,Shepperton_Plant,CONVEYOR_01,belt_speed_m_min,17.89
SEN_100007,2025-01-15 12:00:00,Shepperton_Plant,CONVEYOR_01,motor_load_pct,69.95
SEN_100008,2025-06-04 01:00:00,Shepperton_Plant,CONVEYOR_02,belt_speed_m_min,7.26
SEN_100009,2025-03-06 02:00:00,Shepperton_Plant,COOLING_TUNNEL_01,air_temperature_c,18.15
SEN_100010,2025-01-02 09:00:00,Shepperton_Plant,DOUGH_MIXER_01,mixing_time_sec,617.29
SEN_100011,2025-04-17 16:00:00,Shepperton_Plant,PROOFER_01,temperature_c,37.61
SEN_100012,2025-06-25 00:00:00,Shepperton_Plant,OVEN_01,belt_speed_m_min,5.03
SEN_100013,2025-05-17 11:00:00,Shepperton_Plant,METAL_DETECTOR_01,sensitivity_level,1.54
SEN_100014,2025-05-23 21:00:00,Shepperton_Plant,CONVEYOR_02,motor_load_pct,78.14
SEN_100015,2025-03-14 05:00:00,Shepperton_Plant,CONVEYOR_01,motor_load_pct,37.58
SEN_100016,2025-04-14 18:00:00,Shepperton_Plant,OVEN_01,zone_temperature_c,220.38
SEN_100017,2025-02-18 10:00:00,Shepperton_Plant,OVEN_02,zone_temperature_c,239.34
SEN_100018,2025-04-13 08:00:00,Shepperton_Plant,METAL_DETECTOR_01,detection_events,3.0
SEN_100019,2025-04-07 17:00:00,Shepperton_Plant,METAL_DETECTOR_01,sensitivity_level,1.28
SEN_100020,2025-05-10 16:00:00,Shepperton_Plant,CONVEYOR_01,belt_speed_m_min,17.35
SEN_100021,2025-07-25 18:00:00,Shepperton_Plant,METAL_DETECTOR_01,detection_events,0.0
SEN_100022,2025-06-03 08:00:00,Shepperton_Plant,PACKAGING_LINE_01,seal_temperature_c,170.02
SEN_100023,2025-03-17 04:00:00,Shepperton_Plant,CONVEYOR_01,motor_load_pct,64.67
SEN_100024,2025-03-22 06:00:00,Shepperton_Plant,PROOFER_01,humidity_pct,74.77
SEN_100025,2025-07-05 13:00:00,Shepperton_Plant,CONVEYOR_01,motor_load_pct,44.15
SEN_100026,2025-05-13 15:00:00,Shepperton_Plant,OVEN_01,belt_speed_m_min,6.2
SEN_100027,2025-07-19 14:00:00,Shepperton_Plant,DOUGH_MIXER_01,mixing_time_sec,723.77
SEN_100028,2025-03-14 19:00:00,Shepperton_Plant,OVEN_02,zone_temperature_c,235.65
SEN_100029,2025-05-07 13:00:00,Shepperton_Plant,OVEN_02,belt_speed_m_min,4.4
SEN_100030,2025-06-03 04:00:00,Shepperton_Plant,CONVEYOR_01,motor_load_pct,60.15
SEN_100031,2025-06-10 06:00:00,Shepperton_Plant,CONVEYOR_02,belt_speed_m_min,17.4
SEN_100032,2025-05-14 19:00:00,Shepperton_Plant,CONVEYOR_01,motor_load_pct,23.25
SEN_100033,2025-04-26 09:00:00,Shepperton_Plant,DOUGH_MIXER_01,motor_temperature_c,57.03
SEN_100034,2025-03-15 04:00:00,Shepperton_Plant,DOUGH_MIXER_01,motor_temperature_c,61.35
SEN_100035,2025-02-01 06:00:00,Shepperton_Plant,PACKAGING_LINE_01,seal_temperature_c,122.04
SEN_100036,2025-01-19 16:00:00,Shepperton_Plant,COOLING_TUNNEL_01,airflow_m_s,1.01
SEN_100037,2025-01-09 16:00:00,Shepperton_Plant,METAL_DETECTOR_01,sensitivity_level,2.03
SEN_100038,2025-05-04 17:00:00,Shepperton_Plant,METAL_DETECTOR_01,sensitivity_level,2.44
SEN_100039,2025-03-26 09:00:00,Shepperton_Plant,PROOFER_01,temperature_c,37.32
