record_id,holiday_name,date,region,qty_produced,demand_shift_factor,qty_leftover,sell_through_rate,timestamp,Soft white,High Energy Brown,Whole grain loaf,Low GI Seed loaf
HOLIDAY_REC_5793,Easter Monday,2025-04-21,Bulawayo,1002,1.26,142,0.858,2025-04-21,1879,0,1110,0
HOLIDAY_REC_16398,Christmas Day,2025-12-25,Masvingo,2444,1.26,153,0.937,2025-12-25,0,0,2381,2725
HOLIDAY_REC_8378,Africa Day,2025-05-25,Gweru,894,1.16,89,0.9,2025-05-25,1742,539,0,0
HOLIDAY_REC_14130,Unity Day,2025-12-22,Harare,1120,0.92,100,0.911,2025-12-22,708,156,0,0
HOLIDAY_REC_16454,Christmas Day,2025-12-25,Bulawayo,2376,1.13,260,0.891,2025-12-25,0,0,1753,2419
HOLIDAY_REC_12961,Defense Forces Day,2025-08-13,Mutare,837,0.99,111,0.867,2025-08-13,780,0,513,0
HOLIDAY_REC_2550,National Youth Day,2025-02-21,Chitungwiza,2005,1.09,88,0.956,2025-02-21,0,856,740,1077
HOLIDAY_REC_10173,Heroes Day,2025-08-12,Harare,625,1.11,18,0.971,2025-08-12,0,818,726,650
HOLIDAY_REC_17694,Boxing Day,2025-12-26,Chitungwiza,1360,1.12,104,0.924,2025-12-26,2680,780,838,613
HOLIDAY_REC_258,New Year's Day,2025-01-01,Bulawayo,1868,1.1,161,0.914,2025-01-01,2761,1128,0,1898
HOLIDAY_REC_8424,Africa Day,2025-05-25,Masvingo,2158,1.07,265,0.877,2025-05-25,1738,582,511,0
HOLIDAY_REC_4157,Independence Day,2025-04-18,Bulawayo,2333,1.05,137,0.941,2025-04-18,2456,0,1496,1350
HOLIDAY_REC_8903,Africa Day,2025-05-25,Mutare,1007,1.02,93,0.908,2025-05-25,2025,0,979,0
HOLIDAY_REC_12760,Defense Forces Day,2025-08-13,Mutare,886,1.01,82,0.907,2025-08-13,0,2026,1849,0
HOLIDAY_REC_8688,Africa Day,2025-05-25,Bulawayo,1021,1.05,47,0.954,2025-05-25,0,1270,1413,0
HOLIDAY_REC_7496,Workers Day,2025-05-01,Chitungwiza,980,1.18,74,0.924,2025-05-01,0,527,0,1555
