record_id,timestamp,plant_id,sku,qty_in,qty_out,balance
INV_800000,2025-01-22,Shepperton_Plant,High Energy Brown,876,1458,-582
INV_800001,2025-07-26,Shepperton_Plant,Low GI Seed loaf,686,254,432
INV_800002,2025-02-10,Shepperton_Plant,Whole grain loaf,1106,598,508
INV_800003,2025-02-22,Shepperton_Plant,Soft white,406,902,-496
INV_800004,2025-06-04,Shepperton_Plant,Soft white,1289,437,356
INV_800005,2025-01-09,Shepperton_Plant,Soft white,1794,1723,427
INV_800006,2025-02-09,Shepperton_Plant,Whole grain loaf,970,751,727
INV_800007,2025-03-11,Shepperton_Plant,Whole grain loaf,947,1741,-67
INV_800008,2025-07-05,Shepperton_Plant,Low GI Seed loaf,1459,1082,809
INV_800009,2025-07-17,Shepperton_Plant,Soft white,1444,877,994
INV_800010,2025-04-09,Shepperton_Plant,Soft white,1018,1728,284
INV_800011,2025-05-17,Shepperton_Plant,Whole grain loaf,1094,757,270
INV_800012,2025-02-09,Shepperton_Plant,Soft white,1483,1176,591
INV_800013,2025-02-08,Shepperton_Plant,Low GI Seed loaf,329,241,897
INV_800014,2025-04-24,Shepperton_Plant,Low GI Seed loaf,1758,1654,1001
INV_800015,2025-03-25,Shepperton_Plant,Low GI Seed loaf,1506,278,2229
INV_800016,2025-07-19,Shepperton_Plant,Low GI Seed loaf,1963,1695,2497
INV_800017,2025-05-27,Shepperton_Plant,Soft white,1779,1631,739
INV_800018,2025-01-27,Shepperton_Plant,Whole grain loaf,1505,1616,159
INV_800019,2025-01-27,Shepperton_Plant,Whole grain loaf,1861,599,1421
INV_800020,2025-05-18,Shepperton_Plant,Soft white,839,839,739
INV_800021,2025-02-24,Shepperton_Plant,Soft white,1725,867,1597
INV_800022,2025-07-25,Shepperton_Plant,High Energy Brown,1213,1402,-771
INV_800023,2025-07-19,Shepperton_Plant,Low GI Seed loaf,427,582,2342
INV_800024,2025-04-06,Shepperton_Plant,Whole grain loaf,1992,1082,2331
INV_800025,2025-06-27,Shepperton_Plant,Low GI Seed loaf,1544,328,3558
INV_800026,2025-07-20,Shepperton_Plant,High Energy Brown,649,1627,-1749
INV_800027,2025-06-09,Shepperton_Plant,Low GI Seed loaf,634,423,3769
INV_800028,2025-06-23,Shepperton_Plant,Whole grain loaf,1059,370,3020
INV_800029,2025-07-25,Shepperton_Plant,Whole grain loaf,1527,1616,2931
INV_800030,2025-02-10,Shepperton_Plant,High Energy Brown,1274,1703,-2178
INV_800031,2025-05-26,Shepperton_Plant,Whole grain loaf,1648,1605,2974
INV_800032,2025-04-18,Shepperton_Plant,Soft white,1552,1669,1480
INV_800033,2025-02-11,Shepperton_Plant,Whole grain loaf,768,1776,1966
