record_id,timestamp,plant_id,depot_id,route_id,store_id,sku,balance_before,balance_after,quantity_moved,movement_type,reason_code,expiry_date
INV_2000000,2025-05-21 23:00:00,Shepperton_Plant,Murehwa,,STORE_137,High Energy Brown,2793,5238,2445,production,Baked Output,2025-05-15
INV_2000001,2025-06-12 18:00:00,Shepperton_Plant,Chinhoyi,,STORE_187,Whole grain loaf,1402,1364,-38,sale,Sale,2025-03-16
INV_2000002,2025-02-14 01:00:00,Shepperton_Plant,Bindura,,STORE_083,Low GI Seed loaf,1351,1314,-37,sale,Sale,2025-04-06
INV_2000003,2025-06-11 06:00:00,Shepperton_Plant,Bindura,,STORE_182,Soft white,2695,4158,1463,production,Baked Output,2025-03-30
INV_2000004,2025-05-21 19:00:00,Shepperton_Plant,Chinhoyi,RT_CHE_01,STORE_020,Low GI Seed loaf,2947,3065,118,return_from_store,Return from store,2025-02-22
INV_2000005,2025-04-26 19:00:00,Shepperton_Plant,Chinhoyi,,STORE_161,Whole grain loaf,3642,6168,2526,production,Baked Output,2025-03-07
INV_2000006,2025-04-26 19:00:00,Shepperton_Plant,Bindura,RT_HAR_02,STORE_018,Whole grain loaf,2745,2396,-349,dispatch,Dispatch to depot,2025-03-29
INV_2000007,2025-06-13 22:00:00,Shepperton_Plant,Bindura,RT_BIN_01,STORE_088,Low GI Seed loaf,1513,-133,-1646,dispatch,Dispatch to store,2025-04-30
INV_2000008,2025-03-13 01:00:00,Shepperton_Plant,Chinhoyi,,STORE_041,Low GI Seed loaf,1141,2216,1075,production,Baked Output,2025-02-10
INV_2000009,2025-01-14 17:00:00,Shepperton_Plant,Chegutu,RT_HAR_02,STORE_058,Low GI Seed loaf,1814,1927,113,return_from_store,Return from store,2025-02-24
INV_2000010,2025-01-11 21:00:00,Shepperton_Plant,Bindura,,STORE_154,Low GI Seed loaf,2504,2375,-129,waste,Damaged,2025-05-23
INV_2000011,2025-01-16 13:00:00,Shepperton_Plant,Harare,,STORE_199,Whole grain loaf,3826,3799,-27,sale,Sale,2025-03-18
INV_2000012,2025-02-05 13:00:00,Shepperton_Plant,Bindura,,STORE_089,Whole grain loaf,3376,3359,-17,sale,Sale,2025-04-17
INV_2000013,2025-05-08 15:00:00,Shepperton_Plant,Mutare,,STORE_188,High Energy Brown,1298,1274,-24,sale,Sale,2025-05-20
INV_2000014,2025-03-15 00:00:00,Shepperton_Plant,Murehwa,RT_BIN_01,STORE_188,Whole grain loaf,3538,1944,-1594,dispatch,Dispatch to store,2025-02-26
INV_2000015,2025-07-14 10:00:00,Shepperton_Plant,Chegutu,,STORE_089,Soft white,2617,2553,-64,stock_adjustment,Manual Correction,2025-07-22
INV_2000016,2025-04-09 16:00:00,Shepperton_Plant,Bindura,,STORE_072,Soft white,2547,2509,-38,sale,Sale,2025-04-19
INV_2000017,2025-03-11 23:00:00,Shepperton_Plant,Bindura,,STORE_173,Low GI Seed loaf,1756,1720,-36,sale,Sale,2025-02-04
INV_2000018,2025-06-26 17:00:00,Shepperton_Plant,Chegutu,,STORE_167,Low GI Seed loaf,2569,2322,-247,waste,Damaged,2025-04-10
INV_2000019,2025-04-09 00:00:00,Shepperton_Plant,Murehwa,RT_CHE_01,STORE_144,Low GI Seed loaf,3769,3832,63,return_from_store,Return from store,2025-06-29
INV_2000020,2025-05-21 14:00:00,Shepperton_Plant,Bindura,RT_CHE_02,STORE_112,Whole grain loaf,830,163,-667,dispatch,Dispatch to store,2025-01-26
INV_2000021,2025-02-11 15:00:00,Shepperton_Plant,Chegutu,,STORE_121,Soft white,3891,6512,2621,production,Baked Output,2025-03-21
INV_2000022,2025-01-13 22:00:00,Shepperton_Plant,Mutare,,STORE_144,Whole grain loaf,2557,3871,1314,production,Baked Output,2025-06-23
INV_2000023,2025-02-24 15:00:00,Shepperton_Plant,Chinhoyi,,STORE_043,Whole grain loaf,3686,6261,2575,production,Baked Output,2025-06-06
INV_2000024,2025-02-12 17:00:00,Shepperton_Plant,Chinhoyi,,STORE_180,Whole grain loaf,1928,1901,-27,sale,Sale,2025-06-17
INV_2000025,2025-05-07 09:00:00,Shepperton_Plant,Chinhoyi,,STORE_194,Low GI Seed loaf,1400,1340,-60,sale,Sale,2025-07-15
INV_2000026,2025-06-03 02:00:00,Shepperton_Plant,Mutare,,STORE_078,Low GI Seed loaf,1587,1547,-40,sale,Sale,2025-02-13
INV_2000027,2025-05-23 12:00:00,Shepperton_Plant,Chinhoyi,,STORE_135,Whole grain loaf,2608,2603,-5,sale,Sale,2025-02-16
INV_2000028,2025-04-24 10:00:00,Shepperton_Plant,Bindura,,STORE_147,Whole grain loaf,3413,3355,-58,sale,Sale,2025-02-06
INV_2000029,2025-02-08 08:00:00,Shepperton_Plant,Chegutu,,STORE_005,Low GI Seed loaf,3999,3945,-54,sale,Sale,2025-05-30
