timestamp,plant,depot_id,batch_id,sku,quantity_produced,line_id,operator_id,stacked_before_robot,squashed,torn,undersized_small,valleys,loose_packs,pale_underbaked
2025-01-25 23:11:38,Shepperton,Murehwa,BATCH_16679,Whole grain loaf,497,Line5,OP_ANNE,11,10,0,8,21,0,5
2025-03-13 06:12:18,Shepperton,Harare,BATCH_13290,Soft white,1845,Line4,OP_MUNYA,7,19,6,3,31,18,9
2025-04-15 18:39:32,Shepperton,Harare,BATCH_16558,High Energy Brown,221,Line5,OP_RUDO,23,19,0,0,5,13,13
2025-03-01 11:12:36,Shepperton,Murehwa,BATCH_17926,Low GI Seed loaf,1436,Line1,OP_EFFIE,21,3,2,18,3,8,0
2025-07-16 02:43:27,Shepperton,Chinhoyi,BATCH_15664,High Energy Brown,1507,Line5,OP_RUDO,0,0,6,6,10,0,8
2025-02-11 14:17:04,Shepperton,Hatcliff,BATCH_16061,Whole grain loaf,1409,Line1,OP_RUDO,4,0,24,8,21,10,2
2025-05-12 19:43:55,Shepperton,Hatcliff,BATCH_16613,High Energy Brown,1930,Line5,OP_CHIPO,36,5,5,2,8,0,6
2025-01-29 16:53:37,Shepperton,Hatcliff,BATCH_13702,High Energy Brown,1665,Line3,OP_CHIPO,3,4,5,0,11,1,3
2025-04-13 01:12:44,Shepperton,Murehwa,BATCH_14914,Whole grain loaf,1981,Line3,OP_ANNE,8,0,1,3,4,4,0
2025-04-12 16:09:59,Shepperton,Harare,BATCH_21335,Whole grain loaf,304,Line2,OP_ANNE,5,12,2,2,5,0,3
2025-03-08 11:30:09,Shepperton,Murehwa,BATCH_24025,Low GI Seed loaf,596,Line3,OP_CHIPO,8,0,2,3,6,2,1
2025-05-03 19:46:06,Shepperton,Murehwa,BATCH_21134,Soft white,1873,Line1,OP_RUDO,15,4,4,15,26,0,3
2025-04-03 18:34:08,Shepperton,Bindura,BATCH_18156,Low GI Seed loaf,1468,Line4,OP_RUDO,19,3,11,6,18,11,1
2025-03-21 19:24:41,Shepperton,Harare,BATCH_24072,Whole grain loaf,1623,Line4,OP_ANNE,10,1,3,7,11,2,6
2025-02-15 20:27:56,Shepperton,Bindura,BATCH_12406,Soft white,596,Line5,OP_ANNE,3,18,2,2,28,18,3
2025-02-06 09:33:07,Shepperton,Chegutu,BATCH_16076,Soft white,1961,Line1,OP_EFFIE,4,18,6,2,15,6,8
2025-04-29 02:30:07,Shepperton,Harare,BATCH_18327,High Energy Brown,1767,Line2,OP_ANNE,3,8,4,7,1,9,2
2025-04-05 21:01:35,Shepperton,Harare,BATCH_11261,High Energy Brown,857,Line4,OP_MUNYA,1,1,9,12,10,2,3
2025-05-25 12:13:01,Shepperton,Harare,BATCH_24419,Soft white,373,Line4,OP_EFFIE,18,2,10,12,0,19,0
2025-03-05 06:52:57,Shepperton,Hatcliff,BATCH_20604,Soft white,1502,Line5,OP_TAFADZWA,8,13,18,8,6,8,6
2025-07-29 14:26:53,Shepperton,Hatcliff,BATCH_10476,Soft white,1742,Line3,OP_ANNE,1,0,0,3,4,3,1
2025-05-17 10:57:56,Shepperton,Bindura,BATCH_19191,Whole grain loaf,202,Line2,OP_ANNE,6,1,0,1,17,6,3
2025-01-15 21:24:03,Shepperton,Bindura,BATCH_10487,Whole grain loaf,1715,Line5,OP_MUNYA,18,8,0,10,5,21,6
2025-02-21 16:37:51,Shepperton,Harare,BATCH_10379,Soft white,582,Line1,OP_EFFIE,3,3,10,6,21,2,2
2025-05-07 23:10:51,Shepperton,Bindura,BATCH_20959,Soft white,893,Line1,OP_CHIPO,2,14,21,3,33,12,10
2025-01-11 02:05:35,Shepperton,Hatcliff,BATCH_13860,High Energy Brown,1605,Line2,OP_ANNE,8,3,1,1,14,3,3
2025-04-04 09:06:27,Shepperton,Murehwa,BATCH_11323,Soft white,1980,Line1,OP_EFFIE,36,3,12,2,4,10,2
2025-01-29 12:38:42,Shepperton,Murehwa,BATCH_12906,Low GI Seed loaf,1358,Line4,OP_EFFIE,14,2,0,1,6,5,3
2025-03-26 07:43:07,Shepperton,Murehwa,BATCH_15202,High Energy Brown,1252,Line2,OP_MUNYA,6,6,5,3,1,12,4
2025-04-01 00:45:48,Shepperton,Bindura,BATCH_11491,Soft white,1082,Line1,OP_MUNYA,28,2,2,2,8,8,8
2025-02-07 17:56:05,Shepperton,Chegutu,BATCH_23499,Low GI Seed loaf,1737,Line1,OP_CHIPO,18,10,12,6,16,9,15
2025-03-30 15:47:44,Shepperton,Hatcliff,BATCH_17336,Whole grain loaf,887,Line5,OP_TAFADZWA,16,15,2,3,11,6,3
2025-01-23 16:59:37,Shepperton,Chegutu,BATCH_11655,Low GI Seed loaf,666,Line2,OP_RUDO,2,6,4,5,2,6,3
2025-03-01 05:55:22,Shepperton,Bindura,BATCH_10542,High Energy Brown,1575,Line5,OP_RUDO,13,6,6,0,19,23,3
