qc_id,timestamp,batch_id,sku,parameter,value,pass_fail
QC_500000,2025-05-20,BATCH_20718,Whole grain loaf,temperature,1.04,pass
QC_500001,2025-07-01,BATCH_25652,Low GI Seed loaf,seal_strength,0.86,fail
QC_500002,2025-03-22,BATCH_23851,Soft white,temperature,1.01,pass
QC_500003,2025-05-20,BATCH_25332,Whole grain loaf,moisture,0.95,fail
QC_500004,2025-03-17,BATCH_21595,Whole grain loaf,temperature,0.91,fail
QC_500005,2025-07-12,BATCH_21292,Whole grain loaf,temperature,0.82,fail
QC_500006,2025-06-23,BATCH_22732,Soft white,temperature,0.88,fail
QC_500007,2025-01-21,BATCH_23428,Whole grain loaf,seal_strength,0.82,fail
QC_500008,2025-01-06,BATCH_23293,Whole grain loaf,temperature,0.87,fail
QC_500009,2025-03-08,BATCH_25672,Soft white,seal_strength,0.95,fail
QC_500010,2025-07-17,BATCH_21657,Whole grain loaf,moisture,0.91,fail
QC_500011,2025-01-28,BATCH_24173,Soft white,temperature,0.93,fail
QC_500012,2025-04-17,BATCH_22070,High Energy Brown,weight,0.9,fail
QC_500013,2025-06-04,BATCH_21958,High Energy Brown,temperature,0.83,fail
QC_500014,2025-07-19,BATCH_25432,High Energy Brown,temperature,0.9,fail
QC_500015,2025-07-08,BATCH_23460,Low GI Seed loaf,seal_strength,1.1,pass
QC_500016,2025-05-08,BATCH_21164,High Energy Brown,weight,0.94,fail
QC_500017,2025-01-11,BATCH_24457,Low GI Seed loaf,moisture,1.1,pass
QC_500018,2025-06-24,BATCH_21065,Whole grain loaf,seal_strength,1.07,pass
QC_500019,2025-01-05,BATCH_24844,High Energy Brown,moisture,1.09,pass
QC_500020,2025-01-25,BATCH_20788,Low GI Seed loaf,temperature,1.16,pass
QC_500021,2025-07-03,BATCH_22120,High Energy Brown,weight,1.05,pass
QC_500022,2025-03-24,BATCH_22477,High Energy Brown,temperature,1.16,pass
QC_500023,2025-06-02,BATCH_21039,Whole grain loaf,temperature,1.0,pass
QC_500024,2025-05-07,BATCH_23893,High Energy Brown,weight,1.01,pass
QC_500025,2025-02-07,BATCH_21824,Whole grain loaf,temperature,1.16,pass
QC_500026,2025-04-11,BATCH_21787,High Energy Brown,seal_strength,0.9,fail
QC_500027,2025-01-14,BATCH_24044,Soft white,temperature,1.08,pass
QC_500028,2025-05-02,BATCH_23451,Whole grain loaf,seal_strength,0.89,fail
QC_500029,2025-07-07,BATCH_25885,Whole grain loaf,temperature,0.99,pass
QC_500030,2025-07-25,BATCH_22174,Low GI Seed loaf,weight,1.16,pass
QC_500031,2025-01-07,BATCH_24919,Low GI Seed loaf,weight,1.17,pass
QC_500032,2025-01-15,BATCH_23236,High Energy Brown,weight,1.0,pass
