return_id,timestamp,plant_id,depot_id,route_id,retailer_id,reason_code,notes,Soft white,High Energy Brown,Whole grain loaf,Low GI Seed loaf,batch_id,batch_match_quality
RET_206378,2025-05-02 22:47:53,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_089,Expired,,0,0,0,119,BATCH_21751,matched
RET_206647,2025-05-30 02:54:45,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_086,Mould Growth,,0,63,46,0,BATCH_23689,matched
RET_205264,2025-03-27 21:43:55,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_196,Wrong Delivery,Packaging issue,18,0,9,0,BATCH_16579,matched
RET_207690,2025-03-12 10:58:14,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_081,Returned Unsold,,87,0,0,0,BATCH_13922,matched
RET_205404,2025-04-16 21:22:18,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_078,Expired,,88,0,34,0,BATCH_24733,matched
RET_204047,2025-04-05 02:56:02,Shepperton_Plant,Chinhoyi,RT_CHI_01,STORE_040,Mould Growth,,0,0,0,155,BATCH_16082,matched
RET_208372,2025-03-06 04:03:43,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_073,Expired,Damaged on shelf,0,0,69,0,BATCH_23207,matched
RET_206270,2025-05-04 01:59:40,Shepperton_Plant,Mutare,RT_MUT_02,STORE_157,Stale,Late delivery,0,0,55,0,BATCH_21892,matched
RET_212006,2025-07-02 02:19:21,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_162,Wrong Delivery,Late delivery,52,28,0,0,BATCH_19298,matched
RET_203842,2025-07-26 04:43:54,Shepperton_Plant,Mutare,RT_MUT_01,STORE_172,Returned Unsold,,28,8,0,0,BATCH_16681,matched
RET_212268,2025-02-15 09:41:14,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_192,Returned Unsold,Packaging issue,0,0,0,148,BATCH_13356,matched
RET_206577,2025-03-05 14:33:12,Shepperton_Plant,Mutare,RT_MUT_02,STORE_049,Expired,Packaging issue,17,0,5,0,BATCH_11193,matched
RET_203000,2025-07-13 09:17:46,Shepperton_Plant,Bindura,RT_BIN_01,STORE_011,Mould Growth,Damaged on shelf,64,0,0,0,BATCH_19771,matched
RET_204655,2025-01-27 05:49:17,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_164,Returned Unsold,Customer complaints,25,0,12,0,BATCH_20340,matched
