sale_id,date,plant_id,depot_id,region,sku,quantity_sold,bakers_inn_price
SAL_300000,2025-04-05,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,1235,0.93
SAL_300001,2025-05-24,Shepperton_Plant,Bindura,Mashonaland Central,Soft white,482,0.93
SAL_300002,2025-04-11,Shepperton_Plant,Chegutu,Mashonaland West,Whole grain loaf,1534,0.93
SAL_300003,2025-06-03,Shepperton_Plant,Chegutu,Mashonaland West,Low GI Seed loaf,1406,0.93
SAL_300004,2025-04-25,Shepperton_Plant,Bindura,Mashonaland Central,Low GI Seed loaf,1797,0.93
SAL_300005,2025-01-15,Shepperton_Plant,Hatcliff,Harare Urban,Whole grain loaf,542,0.93
SAL_300006,2025-06-28,Shepperton_Plant,Harare,Harare Urban,Whole grain loaf,939,0.93
SAL_300007,2025-01-08,Shepperton_Plant,Mutare,Manicaland,Low GI Seed loaf,732,0.93
SAL_300008,2025-02-05,Shepperton_Plant,Murehwa,Mashonaland East,Low GI Seed loaf,2021,0.93
SAL_300009,2025-07-24,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,1606,0.93
SAL_300010,2025-03-12,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,530,0.93
SAL_300011,2025-01-14,Shepperton_Plant,Mutare,Manicaland,Low GI Seed loaf,1525,0.93
SAL_300012,2025-03-17,Shepperton_Plant,Harare,Harare Urban,Whole grain loaf,701,0.93
SAL_300013,2025-07-12,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,460,0.93
SAL_300014,2025-02-17,Shepperton_Plant,Hatcliff,Harare Urban,Soft white,315,0.93
SAL_300015,2025-05-23,Shepperton_Plant,Murehwa,Mashonaland East,Whole grain loaf,682,0.93
SAL_300016,2025-06-11,Shepperton_Plant,Murehwa,Mashonaland East,High Energy Brown,1708,0.93
SAL_300017,2025-07-06,Shepperton_Plant,Murehwa,Mashonaland East,Low GI Seed loaf,1932,0.93
SAL_300018,2025-02-02,Shepperton_Plant,Bindura,Mashonaland Central,High Energy Brown,1345,0.93
SAL_300019,2025-06-25,Shepperton_Plant,Bindura,Mashonaland Central,Low GI Seed loaf,983,0.93
SAL_300020,2025-06-23,Shepperton_Plant,Mutare,Manicaland,High Energy Brown,1121,0.93
SAL_300021,2025-04-22,Shepperton_Plant,Hatcliff,Harare Urban,Whole grain loaf,2092,0.93
SAL_300022,2025-05-17,Shepperton_Plant,Mutare,Manicaland,Low GI Seed loaf,1313,0.93
