sale_id,timestamp,retailer_id,depot_id,region,Soft white,High Energy Brown,Whole grain loaf,Low GI Seed loaf,promotion_flag,promotion_name,bakers_inn_price,retail_price
POS_504109,2025-01-01 08:00:00,STORE_167,Chinhoyi,Mashonaland West,18,6,24,32,0,,0.82,1.45
POS_501481,2025-01-01 09:00:00,STORE_059,Chinhoyi,Mashonaland West,16,0,23,5,0,,0.74,1.3
POS_502441,2025-01-01 11:00:00,STORE_099,Mutare,Manicaland,35,25,36,0,0,,0.73,1.28
POS_501408,2025-01-01 11:00:00,STORE_056,Chinhoyi,Mashonaland West,0,0,37,26,0,,0.89,1.56
POS_501995,2025-01-01 12:00:00,STORE_082,Murehwa,Mashonaland East,27,4,18,0,0,,0.68,1.19
POS_501912,2025-01-01 12:00:00,STORE_077,Chinhoyi,Mashonaland West,31,40,34,32,0,,0.74,1.3
POS_502315,2025-01-01 13:00:00,STORE_094,Harare,Harare Urban,9,39,0,0,0,,0.7,1.23
POS_503672,2025-01-01 14:00:00,STORE_148,Chinhoyi,Mashonaland West,20,31,19,23,0,,0.73,1.29
POS_502258,2025-01-01 14:00:00,STORE_092,Bindura,Mashonaland Central,36,0,10,40,0,,0.81,1.42
POS_501948,2025-01-01 15:00:00,STORE_079,Mutare,Manicaland,18,29,11,9,0,,0.81,1.43
POS_501738,2025-01-01 15:00:00,STORE_069,Chinhoyi,Mashonaland West,20,15,14,13,0,,0.79,1.4
POS_504625,2025-01-01 16:00:00,STORE_187,Murehwa,Mashonaland East,0,32,30,30,0,,0.85,1.5
POS_503189,2025-01-01 16:00:00,STORE_129,Hatcliff,Harare Urban,8,0,20,0,0,,0.76,1.33
POS_501487,2025-01-01 17:00:00,STORE_059,Chinhoyi,Mashonaland West,2,20,0,3,0,,0.67,1.19
POS_504689,2025-01-01 19:00:00,STORE_189,Hatcliff,Harare Urban,0,0,7,0,0,,0.78,1.37
POS_500900,2025-01-02 07:00:00,STORE_036,Chinhoyi,Mashonaland West,39,39,28,27,0,,0.79,1.39
POS_500845,2025-01-02 08:00:00,STORE_034,Bindura,Mashonaland Central,40,18,0,0,0,,0.61,1.08
POS_501621,2025-01-02 08:00:00,STORE_064,Harare,Harare Urban,0,18,17,17,0,,0.81,1.42
POS_501549,2025-01-02 09:00:00,STORE_061,Bindura,Mashonaland Central,30,10,36,30,1,Easter Promo,0.78,1.38
POS_500464,2025-01-02 09:00:00,STORE_018,Bindura,Mashonaland Central,29,0,24,10,0,,0.71,1.25
POS_502788,2025-01-02 10:00:00,STORE_113,Harare,Harare Urban,12,19,30,25,0,,0.77,1.35
POS_504883,2025-01-02 10:00:00,STORE_196,Harare,Harare Urban,12,34,13,0,0,,0.71,1.25
POS_503215,2025-01-02 10:00:00,STORE_130,Hatcliff,Harare Urban,11,6,10,26,1,Heroes Day Promo,0.8,1.41
