record_id,timestamp,plant_id,store_id,sku,qty_in,qty_out,balance_before,balance_after,movement_type,reason_code,expiry_date,qty out 
INV_502796,2/22/2025 17:46,Willowvale_Plant,,Soft White,18,0,19151,19169,stock_adjustment,Expired Waste,2/27/2025,0
INV_512134,2/11/2025 9:32,Shepperton_Plant,,Soft White,0,1360,21741,20381,dispatch,Damaged,2/16/2025,1360
INV_517739,4/17/2025 20:37,,STORE_021,Soft White,0,273,-588,-861,store_sale,Manual Correction,4/22/2025,273
INV_503287,1/29/2025 18:51,Shepperton_Plant,,Family Loaf,38,0,-3206,-3168,stock_adjustment,Damaged,2/5/2025,0
INV_505858,5/15/2025 14:56,Willowvale_Plant,,High Energy Brown,0,1448,18169,16721,dispatch,Expired Waste,5/20/2025,1448
INV_515285,7/5/2025 12:47,,STORE_143,Whole Wheat,31,0,170,201,return_from_store,Sale,7/11/2025,0
INV_509090,7/12/2025 1:48,,STORE_060,Soft White,92,0,-128,-36,return_from_store,Damaged,7/17/2025,0
INV_503073,5/10/2025 15:02,Shepperton_Plant,,Wholegrain Brown,0,61,18895,18834,waste,Expired Waste,5/15/2025,61
INV_511988,7/13/2025 14:29,Shepperton_Plant,,Whole Wheat,0,75,51353,51278,waste,Return from Store,7/19/2025,75
INV_503269,6/1/2025 3:30,Shepperton_Plant,,Soft White,676,0,11727,12403,production,Production,6/6/2025,0
INV_506527,2/6/2025 2:47,Willowvale_Plant,,High Energy Brown,0,69,23444,23375,waste,Manual Correction,2/11/2025,69
INV_507681,5/19/2025 11:57,,STORE_014,High Energy Brown,96,0,137,233,return_from_store,Expired Waste,5/24/2025,0
INV_516987,7/29/2025 22:11,,STORE_125,Soft White,94,0,-257,-163,return_from_store,Production,8/3/2025,0
INV_512618,5/27/2025 14:42,Shepperton_Plant,,Wholegrain Brown,0,1004,46268,45264,dispatch,Sale,6/1/2025,1004
INV_508426,4/6/2025 15:06,Willowvale_Plant,,Seed Loaf,17,0,9471,9488,stock_adjustment,Return from Store,4/12/2025,0
INV_504983,5/18/2025 11:18,Willowvale_Plant,,High Energy Brown,0,134,19020,18886,waste,Sale,5/23/2025,134
INV_509960,5/13/2025 8:43,Shepperton_Plant,,High Energy White,0,189,18509,18320,waste,Sale,5/18/2025,189
INV_502684,6/26/2025 7:07,Willowvale_Plant,,Wholegrain Brown,1715,0,8895,10610,production,Manual Correction,7/1/2025,0
INV_509442,6/27/2025 18:56,Willowvale_Plant,,Soft White,1735,0,58829,60564,production,Manual Correction,7/2/2025,0
INV_511830,5/20/2025 23:51,Willowvale_Plant,,High Energy White,1072,0,33193,34265,production,Dispatch to Store,5/25/2025,0
INV_514764,1/1/2025 13:30,Shepperton_Plant,,Soft White,0,43,23827,23784,stock_adjustment,Shrinkage,1/6/2025,43
INV_508407,2/6/2025 23:09,Shepperton_Plant,,Seed Loaf,767,0,29167,29934,production,Damaged,2/12/2025,0
INV_504870,4/18/2025 4:21,Willowvale_Plant,,Soft White,0,1058,30719,29661,dispatch,Expired Waste,4/23/2025,1058
INV_515532,1/12/2025 2:23,Willowvale_Plant,,Whole Wheat,1565,0,45416,46981,production,Sale,1/18/2025,0
INV_503643,1/12/2025 6:28,Willowvale_Plant,,Seed Loaf,0,387,7727,7340,dispatch,Shrinkage,1/18/2025,387
INV_517606,6/29/2025 13:20,,STORE_037,Soft White,101,0,-500,-399,return_from_store,Manual Correction,7/4/2025,0
INV_500313,7/25/2025 19:24,Shepperton_Plant,,Wholegrain Brown,1203,0,-2762,-1559,production,Dispatch to Store,7/30/2025,0
INV_508631,3/31/2025 6:36,Willowvale_Plant,,High Energy White,0,1225,29269,28044,dispatch,Sale,4/5/2025,1225
INV_505049,3/15/2025 7:09,,STORE_083,Whole Wheat,108,0,0,108,return_from_store,Expired Waste,3/21/2025,0
INV_514888,5/21/2025 20:49,Shepperton_Plant,,Family Loaf,0,377,95926,95549,dispatch,Manual Correction,5/28/2025,377
INV_506526,5/24/2025 16:36,Willowvale_Plant,,Wholegrain Brown,0,22,42101,42079,stock_adjustment,Expired Waste,5/29/2025,22
INV_501328,7/21/2025 2:25,Shepperton_Plant,,Family Loaf,0,45,-6315,-6360,stock_adjustment,Dispatch to Store,7/28/2025,45
INV_501315,4/20/2025 13:34,,STORE_192,Wholegrain Brown,0,292,0,-292,store_sale,Expired Waste,4/25/2025,292
INV_501870,5/14/2025 13:37,,STORE_135,Whole Wheat,0,67,0,-67,store_sale,Return from Store,5/20/2025,67
INV_507110,2/11/2025 10:48,Willowvale_Plant,,Wholegrain Brown,0,1411,44860,43449,dispatch,Expired Waste,2/16/2025,1411
INV_516873,2/19/2025 12:46,,STORE_155,High Energy Brown,108,0,-461,-353,return_from_store,Manual Correction,2/24/2025,0
