dispatch_id,departure_time,expected_arrival,actual_arrival,plant_id,depot_id,vehicle_id,soft_white,high_energy_brown,whole_grain_loaf,low_gi_seed_loaf,total_quantity,dispatch_delay_minutes,hour,dayofweek
DSP_900279,2025-01-06 06:00:00,2025-01-06 07:00:00,2025-01-06 07:01:00,Shepperton_Plant,Harare,TRUCK_105,1518,324,379,382,2603,1.0,6,Monday
DSP_905573,2025-05-09 04:00:00,2025-05-09 09:00:00,2025-05-09 09:17:00,Shepperton_Plant,Mutare,TRUCK_023,2288,383,506,641,3818,17.0,4,Friday
DSP_902268,2025-02-21 06:00:00,2025-02-21 06:50:00,2025-02-21 07:16:00,Shepperton_Plant,Hatcliff,TRUCK_120,1224,373,375,378,2350,26.0,6,Friday
DSP_902932,2025-03-08 02:00:00,2025-03-08 02:50:00,2025-03-08 03:03:00,Shepperton_Plant,Hatcliff,TRUCK_073,1381,454,547,482,2864,13.0,2,Saturday
DSP_903044,2025-03-11 06:00:00,2025-03-11 11:00:00,2025-03-11 11:10:00,Shepperton_Plant,Mutare,TRUCK_076,1371,384,267,353,2375,10.0,6,Tuesday
DSP_901383,2025-02-01 03:00:00,2025-02-01 05:30:00,2025-02-01 05:37:00,Shepperton_Plant,Chinhoyi,TRUCK_061,2259,582,711,541,4093,7.0,3,Saturday
DSP_903062,2025-03-11 03:00:00,2025-03-11 04:50:00,2025-03-11 04:52:00,Shepperton_Plant,Murehwa,TRUCK_135,1063,349,260,277,1949,2.0,3,Tuesday
DSP_907882,2025-07-01 02:00:00,2025-07-01 07:00:00,2025-07-01 07:05:00,Shepperton_Plant,Mutare,TRUCK_074,1994,542,566,760,3862,5.0,2,Tuesday
DSP_907369,2025-06-19 06:00:00,2025-06-19 11:00:00,2025-06-19 10:58:00,Shepperton_Plant,Mutare,TRUCK_007,1677,538,474,360,3049,-2.0,6,Thursday
DSP_900196,2025-01-04 04:00:00,2025-01-04 05:50:00,2025-01-04 06:34:00,Shepperton_Plant,Murehwa,TRUCK_030,1689,623,696,685,3693,44.0,4,Saturday
DSP_907943,2025-07-03 04:00:00,2025-07-03 06:20:00,2025-07-03 06:53:00,Shepperton_Plant,Bindura,TRUCK_019,2298,521,447,634,3900,33.0,4,Thursday
DSP_903884,2025-04-01 04:00:00,2025-04-01 05:00:00,2025-04-01 05:30:00,Shepperton_Plant,Harare,TRUCK_068,1147,416,306,391,2260,30.0,4,Tuesday
DSP_908126,2025-07-08 03:00:00,2025-07-08 04:00:00,2025-07-08 04:03:00,Shepperton_Plant,Harare,TRUCK_016,1536,341,465,340,2682,3.0,3,Tuesday
DSP_902868,2025-03-06 05:00:00,2025-03-06 06:50:00,2025-03-06 07:08:00,Shepperton_Plant,Murehwa,TRUCK_007,1505,410,691,493,3099,18.0,5,Thursday
DSP_906020,2025-05-20 03:00:00,2025-05-20 08:00:00,2025-05-20 08:44:00,Shepperton_Plant,Mutare,TRUCK_023,1087,291,260,373,2011,44.0,3,Tuesday
DSP_900217,2025-01-05 02:00:00,2025-01-05 03:50:00,2025-01-05 04:09:00,Shepperton_Plant,Murehwa,TRUCK_041,1318,251,365,294,2228,19.0,2,Sunday
DSP_907593,2025-06-25 02:00:00,2025-06-25 04:30:00,2025-06-25 04:53:00,Shepperton_Plant,Chinhoyi,TRUCK_081,1324,426,291,352,2393,23.0,2,Wednesday
DSP_900690,2025-01-16 03:00:00,2025-01-16 05:30:00,2025-01-16 05:45:00,Shepperton_Plant,Chinhoyi,TRUCK_066,2276,627,624,477,4004,15.0,3,Thursday
DSP_908526,2025-07-18 03:00:00,2025-07-18 04:00:00,2025-07-18 03:58:00,Shepperton_Plant,Harare,TRUCK_018,2044,644,581,610,3879,-2.0,3,Friday
DSP_908416,2025-07-16 04:00:00,2025-07-16 06:20:00,2025-07-16 06:38:00,Shepperton_Plant,Bindura,TRUCK_116,2055,594,737,632,4018,18.0,4,Wednesday
DSP_907294,2025-06-18 03:00:00,2025-06-18 04:50:00,2025-06-18 05:05:00,Shepperton_Plant,Murehwa,TRUCK_049,1873,458,416,575,3322,15.0,3,Wednesday
DSP_901841,2025-02-11 05:00:00,2025-02-11 07:20:00,2025-02-11 07:17:00,Shepperton_Plant,Bindura,TRUCK_027,1011,286,268,247,1812,-3.0,5,Tuesday
DSP_902573,2025-02-28 04:00:00,2025-02-28 04:50:00,2025-02-28 05:05:00,Shepperton_Plant,Hatcliff,TRUCK_072,1793,543,662,608,3606,15.0,4,Friday
DSP_904389,2025-04-12 02:00:00,2025-04-12 02:50:00,2025-04-12 02:48:00,Shepperton_Plant,Hatcliff,TRUCK_032,1861,490,565,383,3299,-2.0,2,Saturday
DSP_907866,2025-07-01 06:00:00,2025-07-01 08:30:00,2025-07-01 08:32:00,Shepperton_Plant,Chinhoyi,TRUCK_017,1613,584,455,502,3154,2.0,6,Tuesday
DSP_903893,2025-04-01 05:00:00,2025-04-01 10:00:00,2025-04-01 09:53:00,Shepperton_Plant,Mutare,TRUCK_054,1137,428,348,355,2268,-7.0,5,Tuesday
DSP_904773,2025-04-21 06:00:00,2025-04-21 07:00:00,2025-04-21 07:12:00,Shepperton_Plant,Harare,TRUCK_004,995,341,338,459,2133,12.0,6,Monday
DSP_905139,2025-04-29 02:00:00,2025-04-29 04:30:00,2025-04-29 04:34:00,Shepperton_Plant,Chinhoyi,TRUCK_079,1516,441,522,425,2904,4.0,2,Tuesday
DSP_900144,2025-01-03 02:00:00,2025-01-03 04:20:00,2025-01-03 04:13:00,Shepperton_Plant,Bindura,TRUCK_048,1439,356,432,576,2803,-7.0,2,Friday
DSP_907434,2025-06-21 03:00:00,2025-06-21 04:50:00,2025-06-21 05:01:00,Shepperton_Plant,Murehwa,TRUCK_104,1019,289,354,301,1963,11.0,3,Saturday
DSP_908406,2025-07-16 06:00:00,2025-07-16 06:50:00,2025-07-16 07:33:00,Shepperton_Plant,Hatcliff,TRUCK_089,1889,694,718,681,3982,43.0,6,Wednesday
DSP_907815,2025-06-30 02:00:00,2025-06-30 03:50:00,2025-06-30 03:51:00,Shepperton_Plant,Murehwa,TRUCK_150,1233,330,309,238,2110,1.0,2,Monday
DSP_904401,2025-04-13 06:00:00,2025-04-13 07:50:00,2025-04-13 08:04:00,Shepperton_Plant,Murehwa,TRUCK_104,2047,544,492,670,3753,14.0,6,Sunday
DSP_901738,2025-02-09 03:00:00,2025-02-09 04:00:00,2025-02-09 04:14:00,Shepperton_Plant,Harare,TRUCK_056,1081,279,263,245,1868,14.0,3,Sunday
DSP_908142,2025-07-09 05:00:00,2025-07-09 07:20:00,2025-07-09 07:30:00,Shepperton_Plant,Bindura,TRUCK_034,1967,831,825,577,4200,10.0,5,Wednesday
DSP_907238,2025-06-16 03:00:00,2025-06-16 05:20:00,2025-06-16 06:00:00,Shepperton_Plant,Bindura,TRUCK_123,2075,535,588,491,3689,40.0,3,Monday
DSP_904219,2025-04-08 06:00:00,2025-04-08 08:00:00,2025-04-08 07:55:00,Shepperton_Plant,Chegutu,TRUCK_037,872,290,336,432,1930,-5.0,6,Tuesday
DSP_901246,2025-01-29 02:00:00,2025-01-29 04:20:00,2025-01-29 04:25:00,Shepperton_Plant,Bindura,TRUCK_117,1273,382,457,613,2725,5.0,2,Wednesday
DSP_900138,2025-01-03 03:00:00,2025-01-03 03:50:00,2025-01-03 04:10:00,Shepperton_Plant,Hatcliff,TRUCK_134,1483,412,391,280,2566,20.0,3,Friday
DSP_907179,2025-06-15 04:00:00,2025-06-15 06:00:00,2025-06-15 06:04:00,Shepperton_Plant,Chegutu,TRUCK_116,1608,380,644,451,3083,4.0,4,Sunday
DSP_903458,2025-03-21 04:00:00,2025-03-21 06:00:00,2025-03-21 06:24:00,Shepperton_Plant,Chegutu,TRUCK_021,1650,604,741,631,3626,24.0,4,Friday
DSP_907715,2025-06-28 02:00:00,2025-06-28 03:50:00,2025-06-28 04:08:00,Shepperton_Plant,Murehwa,TRUCK_017,1777,765,617,594,3753,18.0,2,Saturday
DSP_900214,2025-01-05 06:00:00,2025-01-05 06:50:00,2025-01-05 06:48:00,Shepperton_Plant,Hatcliff,TRUCK_052,2017,755,725,549,4046,-2.0,6,Sunday
DSP_900602,2025-01-13 04:00:00,2025-01-13 06:20:00,2025-01-13 06:22:00,Shepperton_Plant,Bindura,TRUCK_101,1082,306,267,207,1862,2.0,4,Monday
DSP_902656,2025-03-02 03:00:00,2025-03-02 03:50:00,2025-03-02 03:43:00,Shepperton_Plant,Hatcliff,TRUCK_103,1501,603,560,416,3080,-7.0,3,Sunday
DSP_904556,2025-04-16 03:00:00,2025-04-16 05:30:00,2025-04-16 05:36:00,Shepperton_Plant,Chinhoyi,TRUCK_127,1240,312,396,426,2374,6.0,3,Wednesday
DSP_908532,2025-07-18 04:00:00,2025-07-18 06:30:00,2025-07-18 06:35:00,Shepperton_Plant,Chinhoyi,TRUCK_005,1469,339,414,491,2713,5.0,4,Friday
DSP_901945,2025-02-13 03:00:00,2025-02-13 05:00:00,2025-02-13 04:53:00,Shepperton_Plant,Chegutu,TRUCK_017,1883,718,708,746,4055,-7.0,3,Thursday
DSP_908288,2025-07-12 05:00:00,2025-07-12 07:00:00,2025-07-12 07:19:00,Shepperton_Plant,Chegutu,TRUCK_082,1148,310,278,261,1997,19.0,5,Saturday
DSP_902188,2025-02-19 05:00:00,2025-02-19 07:20:00,2025-02-19 07:11:00,Shepperton_Plant,Bindura,TRUCK_116,1142,333,456,310,2241,-9.0,5,Wednesday
DSP_903889,2025-04-01 03:00:00,2025-04-01 05:00:00,2025-04-01 05:10:00,Shepperton_Plant,Chegutu,TRUCK_149,901,235,329,338,1803,10.0,3,Tuesday
DSP_907527,2025-06-24 05:00:00,2025-06-24 07:30:00,2025-06-24 08:05:00,Shepperton_Plant,Chinhoyi,TRUCK_123,1296,535,368,542,2741,35.0,5,Tuesday
DSP_908224,2025-07-11 04:00:00,2025-07-11 05:50:00,2025-07-11 06:06:00,Shepperton_Plant,Murehwa,TRUCK_111,1453,404,355,421,2633,16.0,4,Friday
DSP_903141,2025-03-13 05:00:00,2025-03-13 07:00:00,2025-03-13 07:03:00,Shepperton_Plant,Chegutu,TRUCK_106,1081,444,422,310,2257,3.0,5,Thursday
DSP_907906,2025-07-02 06:00:00,2025-07-02 06:50:00,2025-07-02 06:43:00,Shepperton_Plant,Hatcliff,TRUCK_141,1838,752,489,708,3787,-7.0,6,Wednesday
DSP_906826,2025-06-07 02:00:00,2025-06-07 04:00:00,2025-06-07 03:58:00,Shepperton_Plant,Chegutu,TRUCK_001,1775,687,572,763,3797,-2.0,2,Saturday
DSP_902758,2025-03-04 02:00:00,2025-03-04 04:20:00,2025-03-04 04:19:00,Shepperton_Plant,Bindura,TRUCK_096,1421,527,507,442,2897,-1.0,2,Tuesday
DSP_907867,2025-07-01 04:00:00,2025-07-01 09:00:00,2025-07-01 09:45:00,Shepperton_Plant,Mutare,TRUCK_009,1536,542,457,458,2993,45.0,4,Tuesday
DSP_905871,2025-05-17 04:00:00,2025-05-17 04:50:00,2025-05-17 04:50:00,Shepperton_Plant,Hatcliff,TRUCK_080,1533,600,495,547,3175,0.0,4,Saturday
DSP_902011,2025-02-15 02:00:00,2025-02-15 03:50:00,2025-02-15 03:51:00,Shepperton_Plant,Murehwa,TRUCK_034,1939,797,575,679,3990,1.0,2,Saturday
DSP_901942,2025-02-13 05:00:00,2025-02-13 06:50:00,2025-02-13 07:18:00,Shepperton_Plant,Murehwa,TRUCK_007,1329,448,498,589,2864,28.0,5,Thursday
DSP_909086,2025-07-30 05:00:00,2025-07-30 06:50:00,2025-07-30 06:57:00,Shepperton_Plant,Murehwa,TRUCK_071,1431,396,335,362,2524,7.0,5,Wednesday
DSP_907900,2025-07-02 03:00:00,2025-07-02 03:50:00,2025-07-02 04:10:00,Shepperton_Plant,Hatcliff,TRUCK_096,2290,555,670,564,4079,20.0,3,Wednesday
DSP_908976,2025-07-27 05:00:00,2025-07-27 06:50:00,2025-07-27 07:09:00,Shepperton_Plant,Murehwa,TRUCK_079,1217,437,403,380,2437,19.0,5,Sunday
DSP_906536,2025-05-31 02:00:00,2025-05-31 04:00:00,2025-05-31 03:59:00,Shepperton_Plant,Chegutu,TRUCK_047,2271,678,548,583,4080,-1.0,2,Saturday
DSP_906147,2025-05-23 05:00:00,2025-05-23 06:50:00,2025-05-23 07:03:00,Shepperton_Plant,Murehwa,TRUCK_027,908,360,305,310,1883,13.0,5,Friday
DSP_903389,2025-03-19 04:00:00,2025-03-19 06:30:00,2025-03-19 06:30:00,Shepperton_Plant,Chinhoyi,TRUCK_012,1506,453,283,413,2655,0.0,4,Wednesday
DSP_900313,2025-01-07 04:00:00,2025-01-07 04:50:00,2025-01-07 05:15:00,Shepperton_Plant,Hatcliff,TRUCK_059,1708,618,673,629,3628,25.0,4,Tuesday
DSP_906592,2025-06-01 02:00:00,2025-06-01 04:20:00,2025-06-01 05:04:00,Shepperton_Plant,Bindura,TRUCK_057,2391,646,590,448,4075,44.0,2,Sunday
