date,total_returned,incidents
2025-01-01,3651,57
2025-01-02,4015,59
2025-01-03,3691,58
2025-01-04,4072,64
2025-01-05,4747,68
2025-01-06,3923,65
2025-01-07,3881,63
2025-01-08,3608,63
2025-01-09,4414,59
2025-01-10,3814,65
2025-01-11,3934,59
2025-01-12,5292,83
2025-01-13,3699,57
2025-01-14,4244,67
2025-01-15,4132,56
2025-01-16,4062,53
2025-01-17,5118,73
2025-01-18,4080,60
2025-01-19,4442,64
2025-01-20,4597,65
2025-01-21,4004,76
2025-01-22,3096,53
2025-01-23,4714,61
2025-01-24,3907,61
2025-01-25,4421,61
2025-01-26,3445,48
2025-01-27,5213,71
2025-01-28,4336,61
2025-01-29,4580,65
2025-01-30,3062,49
2025-01-31,4709,71
2025-02-01,3947,62
2025-02-02,4486,66
2025-02-03,6453,83
2025-02-04,4762,61
2025-02-05,3797,56
2025-02-06,3286,51
2025-02-07,4199,57
2025-02-08,3889,64
2025-02-09,4533,65
2025-02-10,4364,69
2025-02-11,3902,52
2025-02-12,4404,59
2025-02-13,4546,75
2025-02-14,4110,66
2025-02-15,3789,56
2025-02-16,4136,56
2025-02-17,5284,69
2025-02-18,6505,96
2025-02-19,4648,65
2025-02-20,3022,49
2025-02-21,3400,61
2025-02-22,4182,61
2025-02-23,5549,74
2025-02-24,4172,52
2025-02-25,4342,65
2025-02-26,4801,65
2025-02-27,5752,75
2025-02-28,3742,53
2025-03-01,3940,68
2025-03-02,4298,65
2025-03-03,5126,71
2025-03-04,4159,59
2025-03-05,3881,66
2025-03-06,4696,67
2025-03-07,4092,60
2025-03-08,3289,61
2025-03-09,3425,55
2025-03-10,3591,58
2025-03-11,3498,54
2025-03-12,3894,66
2025-03-13,4847,73
2025-03-14,3289,57
2025-03-15,3246,53
2025-03-16,3372,56
2025-03-17,4856,72
2025-03-18,4789,73
2025-03-19,3457,52
2025-03-20,3798,58
2025-03-21,3735,56
2025-03-22,4594,72
2025-03-23,3958,59
2025-03-24,3467,54
2025-03-25,4195,60
2025-03-26,3848,58
2025-03-27,4561,66
2025-03-28,3572,48
2025-03-29,3719,66
2025-03-30,2815,54
2025-03-31,5255,74
2025-04-01,3584,50
2025-04-02,4080,63
2025-04-03,4384,59
2025-04-04,4075,60
2025-04-05,4378,62
2025-04-06,3963,59
2025-04-07,3911,68
2025-04-08,3642,57
2025-04-09,4971,69
2025-04-10,3527,50
2025-04-11,4163,57
2025-04-12,3733,54
2025-04-13,5336,63
2025-04-14,4104,63
2025-04-15,4046,61
2025-04-16,4108,55
2025-04-17,5116,72
2025-04-18,4135,69
2025-04-19,3342,49
2025-04-20,6005,76
2025-04-21,3912,60
2025-04-22,3620,56
2025-04-23,3838,58
2025-04-24,3452,56
2025-04-25,3432,62
2025-04-26,4799,68
2025-04-27,5032,72
2025-04-28,4861,65
2025-04-29,3977,60
2025-04-30,4858,72
2025-05-01,4764,76
2025-05-02,5148,74
2025-05-03,4509,67
2025-05-04,3336,52
2025-05-05,5237,72
2025-05-06,4199,59
2025-05-07,4528,65
2025-05-08,4407,61
2025-05-09,3417,48
2025-05-10,2718,42
2025-05-11,3579,60
2025-05-12,4901,73
2025-05-13,3679,52
2025-05-14,2995,53
2025-05-15,4901,76
2025-05-16,3633,54
2025-05-17,4525,64
2025-05-18,4131,60
2025-05-19,4441,67
2025-05-20,4640,65
2025-05-21,3228,57
2025-05-22,4771,70
2025-05-23,3273,55
2025-05-24,4184,59
2025-05-25,5167,73
2025-05-26,3674,52
2025-05-27,3633,55
2025-05-28,4252,60
2025-05-29,4532,68
2025-05-30,3784,57
2025-05-31,4565,62
2025-06-01,3999,69
2025-06-02,4034,54
2025-06-03,2687,54
2025-06-04,3904,61
2025-06-05,5109,73
2025-06-06,3791,64
2025-06-07,3713,52
2025-06-08,5161,73
2025-06-09,4250,68
2025-06-10,4295,60
2025-06-11,4842,70
2025-06-12,4675,67
2025-06-13,4322,65
2025-06-14,3405,54
2025-06-15,3915,63
2025-06-16,4088,62
2025-06-17,3290,51
2025-06-18,4781,60
2025-06-19,3325,48
2025-06-20,3710,60
2025-06-21,3053,53
2025-06-22,4969,71
2025-06-23,3951,57
2025-06-24,4288,63
2025-06-25,4618,64
2025-06-26,4627,65
2025-06-27,3478,58
2025-06-28,3073,50
2025-06-29,4138,59
2025-06-30,4088,63
2025-07-01,2848,52
2025-07-02,3961,63
2025-07-03,4645,61
2025-07-04,4340,68
2025-07-05,3827,57
2025-07-06,3501,60
2025-07-07,6233,79
2025-07-08,3220,51
2025-07-09,4367,63
2025-07-10,3206,45
2025-07-11,3830,60
2025-07-12,5069,72
2025-07-13,4257,64
2025-07-14,4222,56
2025-07-15,4931,67
2025-07-16,4183,65
2025-07-17,3176,52
2025-07-18,2937,43
2025-07-19,4977,70
2025-07-20,4459,55
2025-07-21,2161,39
2025-07-22,3890,64
2025-07-23,4205,72
2025-07-24,5301,75
2025-07-25,3296,52
2025-07-26,4373,63
2025-07-27,4855,66
2025-07-28,3855,57
2025-07-29,3756,55
2025-07-30,3245,53
